2026-03-22 10:45:47,158 - grpo_trainer - INFO - Step 82/200 | reward=3.500 | correct=0.000 | hack_strict=1.000 | hack_loose=1.000 | compile=1.000 | loss=0.0000 | lr=4.48e-05 | kl=0.0000 | time=45.9s (gen=27.9s, reward=9.1s)
2026-03-22 10:46:39,541 - grpo_trainer - INFO - Step 83/200 | reward=3.244 | correct=0.000 | hack_strict=0.918 | hack_loose=0.918 | compile=0.980 | loss=1.8149 | lr=4.42e-05 | kl=0.0000 | time=52.4s (gen=33.3s, reward=8.1s)
2026-03-22 10:47:31,708 - grpo_trainer - INFO - Step 84/200 | reward=3.219 | correct=0.000 | hack_strict=0.914 | hack_loose=0.914 | compile=0.953 | loss=10.4788 | lr=4.37e-05 | kl=0.0000 | time=52.2s (gen=33.5s, reward=8.0s)
2026-03-22 10:48:24,545 - grpo_trainer - INFO - Step 85/200 | reward=3.160 | correct=0.000 | hack_strict=0.887 | hack_loose=0.891 | compile=1.000 | loss=8.2144 | lr=4.32e-05 | kl=0.0000 | time=52.8s (gen=34.0s, reward=8.1s)
2026-03-22 10:49:22,181 - grpo_trainer - INFO - Step 86/200 | reward=3.461 | correct=0.000 | hack_strict=0.988 | hack_loose=0.988 | compile=0.992 | loss=23.5088 | lr=4.26e-05 | kl=0.0000 | time=57.6s (gen=35.7s, reward=9.8s)
2026-03-22 10:50:21,854 - grpo_trainer - INFO - Step 87/200 | reward=3.477 | correct=0.000 | hack_strict=0.992 | hack_loose=1.000 | compile=1.000 | loss=-7.5679 | lr=4.21e-05 | kl=0.0000 | time=59.7s (gen=39.7s, reward=8.8s)
2026-03-22 10:51:22,628 - grpo_trainer - INFO - Step 88/200 | reward=3.432 | correct=0.000 | hack_strict=0.980 | hack_loose=0.980 | compile=0.980 | loss=1.3153 | lr=4.16e-05 | kl=0.0000 | time=60.8s (gen=39.9s, reward=8.5s)
2026-03-22 10:52:24,572 - grpo_trainer - INFO - Step 89/200 | reward=3.477 | correct=0.000 | hack_strict=0.992 | hack_loose=1.000 | compile=1.000 | loss=14.1330 | lr=4.10e-05 | kl=0.0000 | time=61.9s (gen=37.6s, reward=8.4s)
2026-03-22 10:53:24,274 - grpo_trainer - INFO - Step 90/200 | reward=3.459 | correct=0.000 | hack_strict=0.988 | hack_loose=0.988 | compile=0.988 | loss=9.0050 | lr=4.05e-05 | kl=0.0000 | time=59.7s (gen=37.7s, reward=8.4s)
2026-03-22 10:54:28,521 - grpo_trainer - INFO - Step 91/200 | reward=3.344 | correct=0.000 | hack_strict=0.953 | hack_loose=0.969 | compile=0.969 | loss=86.0822 | lr=3.99e-05 | kl=0.0000 | time=64.2s (gen=42.6s, reward=9.7s)
2026-03-22 11:11:17,924 - grpo_trainer - INFO - Step 92/200 | reward=3.461 | correct=0.000 | hack_strict=0.988 | hack_loose=0.992 | compile=0.992 | loss=25.3586 | lr=3.94e-05 | kl=0.0000 | time=1009.4s (gen=912.8s, reward=8.7s)
